"id","category","file","max_seconds","en","eu","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Campuseko larrialdi-orientazio linera iritsi zara. Momentu honetan ez dago erantzulerik libre, eta laguntzari abisua eman zaio zuri deitzeko. Lasai egon. Hartu arnasa poliki. Zer egin behar duzun gidatuko zaitut. Ahal baduzu, deitu orain zure nazio-mailako larrialdi-zenbakira ere.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Hau campuseko larrialdi-orientazio linea da, proba moduan. Ez da benetako gertaerarik erregistratzen ari. Larrialdi batean zer egin behar duzun gidatuko zaitut.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Aukeratu egoera. Sakatu bat norbait arnasarik gabe edo pultsurik gabe badago. Sakatu bi odoljario larria bada. Sakatu hiru ito-arriskua bada. Sakatu lau sua edo kea bada. Sakatu bost mehatxu, erasotzaile edo blokeoa bada. Sakatu sei norbait konorterik gabe baina arnasa hartzen ari bada. Sakatu zazpi harrapatuta bazaude. Sakatu bederatzi erantzule bat berriro saiatzeko. Sakatu zortzi mezu bat uzteko. Sakatu zero aukera hauek berriro entzuteko.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Jarri pertsona ahoz gora gainazal gogor batean eta belaunikatu haren ondoan. Jarri esku baten orpoa bularraren erdian, eta beste eskua gainean. Bultza gogor eta azkar, segundoko bi aldiz gutxi gorabehera, aldi bakoitzean bularra guztiz igotzen utziz. Jarraitu gelditu gabe. Norbait gertu badago, bidali defibriladore hurbilenaren bila, eta piztu haren ahozko argibideak jarraitzeko. Ez gelditu laguntza iritsi arte edo pertsona esnatu arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Sakatu sendo eta zuzenean zaurian oihal batekin edo zure eskuarekin. Ez kendu oihala. Odolak zeharkatzen badu, gehitu gehiago gainean eta jarraitu gogor sakatzen. Beso bat edo hanka bat bada eta odoljarioa gelditzen ez bada, lotu banda sendo bat estu zauritik zentimetro batzuk gorago, zauriaren eta bihotzaren artean, eta idatzi ordua. Mantendu pertsona bero eta geldi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Galdetu hitz egin edo eztul egin dezakeen. Arnasa hartu ezin badu, jarri haren atzean eta eman bost kolpe sendo sorbalda-hezurren artean zure eskuaren orpoarekin. Horrek funtzionatzen ez badu, inguratu zure besoekin haren gerria eta eman bost bultzada azkar barrurantz eta gorantz zilborraren gainetik. Errepikatu bizkarreko kolpeak eta bultzadak objektua atera arte edo laguntza iritsi arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Atera denak orain, eta ez gelditu gauzengatik. Egon behean, kearen azpian, non airea garbiagoa den. Edozein ate ireki aurretik, ukitu eskuaren atzealdearekin. Beroa badago, bilatu beste irteera bat. Ez erabili igogailuak. Kanpoan zaudenean, egon kanpoan, eta joan biltze-punturaino. Ez itzuli barrura.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Eremua modu seguruan utz badezakezu, urrundu arriskutik isilik eta azkar. Ezin baduzu, sartu gela batean, giltzatu edo blokeatu atea, eta egon behean, leiho eta ateetatik urrun. Itzali argiak eta jarri zure telefonoa isilik. Egon isilik eta ezkutuan. Ez ireki atea segurtasunak edo poliziak segurua dela esan arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Pertsona arnasa hartzen ari bada baina esna ez badago, jiratu poliki alboz. Okertu burua pixka bat atzerantz arnasbidea zabalik mantentzeko, eta jaso kokotsa. Egon harekin eta jarraitu begiratzen arnasa hartzen jarraitzen duela. Arnasa hartzeari uzten badio, hasi bular-konpresioak bularraren erdian.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Egon ahalik eta lasaien eta geldien, airea eta energia aurrezteko. Estali sudurra eta ahoa oihalarekin hautsaren aurka. Jo etengabe hodi, horma edo edozein gainazal gogorren kontra, erreskatatzaileek entzun zaitzaten. Egin oihu azken baliabide gisa soilik, hautsa ez arnasteko. Ez piztu sugarrik. Mugitu ahalik eta gutxien eta itxaron aurkitua izan arte.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Erantzule batekin harremanetan jartzen saiatzen ari naiz orain. Mesedez, egon linean eta itxaron.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Oraindik ez dago erantzulerik libre. Zurekin egongo naiz. Orientaziora itzultzen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Barkatu, ez dut hori ulertu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Ez dut aukerarik entzun.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Orain erantzun-taldearentzat mezu bat uzten utziko dizut. Tonuaren ondoren, esan non zauden eta zer gertatzen ari den.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Lehen sorospenetarako orientazioa. Erantzule bati abisua ematen ari zaio oraindik eta ahal badu batuko da. Egon nirekin.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Campuseko larrialdi-linera iritsi zara. Zure deia grabatzen ari da, eta laguntzarekin harremanetan jartzen ari da orain. Egon linean. Norbaitek oraintxe lehen sorospena behar badu, sakatu bat edozein unetan, eta gidatuko zaitut.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Oraindik erantzule batekin konektatzen. Orain lehen sorospena behar baduzu, sakatu bat urratsez urratseko orientaziorako.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Larrialdi-abisua. Campuseko larrialdi-linean dei aktibo bat dago eta erantzuleak ez du erantzun. Mesedez, egon eskuragarri orain. Sakatu bat larrialdi-ilarara batzeko.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Orain txandan zaude. Campuseko larrialdi-deiak jasoko dituzu txandatik atera arte, izarra bi hiru markatuz.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Orain txandatik kanpo zaude. Ez duzu jada campuseko larrialdi-deirik jasoko.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Hustu eraikina orain. Atera berehala irteera seguru hurbilenetik. Ez erabili igogailuak. Joan zure biltze-punturaino eta itxaron argibide gehiago.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Babestu zauden lekuan orain. Sartu barrura, giltzatu edo blokeatu atea, egon leihoetatik urrun, eta egon isilik segurua dela esan arte. Itxaron argibide gehiago.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Larrialdia amaitu da orain. Segurua da jarduera normala berrekitzea. Eskerrik asko zure lankidetzagatik.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Joan zure esleitutako biltze-punturaino orain. Mugitu lasai, lagundu besteei ahal duzunean, eta itxaron kontatua izan arte. Itxaron argibide gehiago.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Hau segurtasun-zenbaketa bat da. Seguru bazaude eta erantzuteko gai bazara, sakatu bat orain.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Hau UPES Larrialdi Abisu Zerbitzuaren proba bat da. Hau proba bat besterik ez da. Ez da ekintzarik behar, eta ez da larrialdi-erantzunik bidaliko.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Sakatu bat seguru bazaude.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Eskerrik asko. Seguru gisa markatu zaitugu. Orain esekitu dezakezu.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Ez da erantzunik erregistratu. Mesedez, jarri harremanetan zure arduradunarekin ahalik eta lasterren.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Hustu eraikina orain. Atera berehala irteera seguru hurbilenetik. Ez erabili igogailuak. Joan zure biltze-punturaino eta itxaron argibide gehiago.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Campusean gertaera bat dago. Egon eremu kaltetutik urrun, ez hurbildu, eta jarraitu segurtasun-langileen argibideak. Itxaron argibide gehiago.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Larrialdia amaitu da orain. Segurua da jarduera normala berrekitzea. Eskerrik asko zure lankidetzagatik.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Adi. Hau UPES Larrialdi Abisu Zerbitzua da. Joan zure esleitutako biltze-punturaino orain. Mugitu lasai, lagundu besteei ahal duzunean, eta itxaron kontatua izan arte. Itxaron argibide gehiago.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Adi. Hau UPES Larrialdi Abisu Zerbitzuaren jakinarazpen bat da. Mesedez, entzun arretaz eta jarraitu ondorengo argibideak.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Hau UPES larrialdi-sistemaren simulakro bat da. Hau proba bat besterik ez da. Ez dago benetako larrialdirik abian, eta ez da erantzunik bidaliko. Eskerrik asko.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Ez dago erantzulerik eskuragarri zure deia hartzeko orain. Tonuaren ondoren, mesedez, esan zure izena, non zauden, eta zer gertatzen ari den. Egon seguru. Laguntzak ahalik eta lasterren deituko dizu.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Barkatu. Ez zaude baimenduta funtzio hau erabiltzeko.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Mesedez, egon linean. Erantzule batekin konektatzen ari gara orain.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Orain pausatuta zaude, eta ez duzu larrialdi-deirik jasoko. Markatu izarra lau sei berrekiteko.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Orain eskuragarri zaude, eta larrialdi-deiak berriro jasoko dituzu.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Hizkuntza aldatzeko, sakatu 1 ingelesez edo 2 hindiz.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
