"id","category","file","max_seconds","en","fr","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Vous avez joint la ligne de conseils d'urgence du campus. Aucun intervenant n'est disponible pour le moment, et les secours ont ete alertes pour vous rappeler. Restez calme. Respirez lentement. Je vais vous guider sur ce qu'il faut faire. Si vous le pouvez, appelez aussi maintenant votre numero national d'urgence.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Ceci est la ligne de conseils d'urgence du campus, en mode test. Aucun incident reel n'est enregistre. Je vais vous guider sur ce qu'il faut faire en cas d'urgence.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Choisissez la situation. Appuyez sur 1 si quelqu'un ne respire plus ou n'a pas de pouls. Appuyez sur 2 pour une hemorragie grave. Appuyez sur 3 pour un etouffement. Appuyez sur 4 pour un incendie ou de la fumee. Appuyez sur 5 pour une menace, un agresseur ou un confinement. Appuyez sur 6 si quelqu'un est inconscient mais respire. Appuyez sur 7 si vous etes pris au piege. Appuyez sur 9 pour essayer de nouveau de joindre un intervenant. Appuyez sur 8 pour laisser un message. Appuyez sur 0 pour entendre de nouveau ces choix.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Allongez la personne sur le dos sur une surface dure et agenouillez-vous a cote d'elle. Placez le talon d'une main au centre de la poitrine, et votre autre main par-dessus. Appuyez fort et vite, environ deux fois par seconde, en laissant la poitrine remonter completement a chaque fois. Continuez sans vous arreter. Si quelqu'un est a proximite, envoyez-le chercher le defibrillateur le plus proche, allumez-le et suivez ses instructions vocales. Ne vous arretez pas avant l'arrivee des secours ou le reveil de la personne.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Appuyez fermement et directement sur la plaie avec un tissu ou votre main. Ne retirez pas le tissu. Si le sang le traverse, ajoutez-en davantage par-dessus et continuez d'appuyer fort. S'il s'agit d'un bras ou d'une jambe et que le saignement ne s'arrete pas, nouez une bande solide et serree quelques centimetres au-dessus de la plaie, entre la plaie et le coeur, et notez l'heure. Gardez la personne au chaud et immobile.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Demandez-lui si elle peut parler ou tousser. Si elle ne peut pas respirer, placez-vous derriere elle et donnez cinq tapes fermes entre les omoplates avec le talon de votre main. Si cela ne fonctionne pas, entourez sa taille de vos bras et donnez cinq poussees rapides vers l'interieur et vers le haut juste au-dessus du nombril. Continuez d'alterner les tapes dans le dos et les poussees jusqu'a ce que l'objet sorte ou que les secours arrivent.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Faites sortir tout le monde immediatement, et ne vous arretez pas pour vos affaires. Restez bas sous la fumee, la ou l'air est plus clair. Avant d'ouvrir une porte, touchez-la avec le dos de votre main. Si elle est chaude, trouvez une autre sortie. N'utilisez pas les ascenseurs. Une fois dehors, restez dehors, et dirigez-vous vers le point de rassemblement. Ne retournez pas a l'interieur.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Si vous pouvez quitter la zone en toute securite, eloignez-vous du danger discretement et rapidement. Si vous ne le pouvez pas, entrez dans une piece, verrouillez ou bloquez la porte, et restez bas, loin des fenetres et des portes. Eteignez les lumieres et mettez votre telephone en silencieux. Restez silencieux et hors de vue. N'ouvrez pas la porte tant que la securite ou la police ne vous dit pas que c'est sur.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Si la personne respire mais n'est pas consciente, tournez-la doucement sur le cote. Inclinez legerement sa tete en arriere pour garder les voies respiratoires ouvertes, et relevez son menton. Restez avec elle et continuez de verifier qu'elle respire toujours. Si elle cesse de respirer, commencez les compressions thoraciques au centre de la poitrine.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Restez aussi calme et immobile que possible, pour economiser l'air et l'energie. Couvrez votre nez et votre bouche avec un tissu contre la poussiere. Tapez regulierement sur un tuyau, un mur ou toute surface dure, afin que les secours puissent vous entendre. Ne criez qu'en dernier recours, pour eviter d'inhaler la poussiere. N'allumez aucune flamme. Bougez le moins possible et attendez qu'on vous trouve.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","J'essaie de joindre un intervenant maintenant. Veuillez rester en ligne et patienter.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Aucun intervenant n'est encore disponible. Je reste avec vous. Retour aux conseils.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Desole, je n'ai pas compris.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Je n'ai pas entendu de choix.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Je vais maintenant vous laisser laisser un message pour l'equipe d'intervention. Apres le signal sonore, dites ou vous etes et ce qui se passe.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Conseils de premiers secours. Un intervenant est toujours en cours d'alerte et se joindra a vous s'il le peut. Restez avec moi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Vous avez joint la ligne d'urgence du campus. Votre appel est enregistre, et les secours sont contactes maintenant. Restez en ligne. Si quelqu'un a besoin de premiers secours tout de suite, appuyez sur 1 a tout moment, et je vous guiderai.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Nous vous mettons toujours en relation avec un intervenant. Si vous avez besoin de premiers secours maintenant, appuyez sur 1 pour des conseils etape par etape.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Alerte d'urgence. Il y a un appel actif sur la ligne d'urgence du campus et aucun intervenant n'a repondu. Veuillez vous rendre disponible maintenant. Appuyez sur 1 pour rejoindre la file d'urgence.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Vous etes maintenant en service. Vous recevrez les appels d'urgence du campus jusqu'a ce que vous quittiez le service en composant etoile deux trois.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Vous etes maintenant hors service. Vous ne recevrez plus les appels d'urgence du campus.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Attention. Ici le service d'alerte d'urgence UPES. Evacuez le batiment maintenant. Sortez immediatement par la sortie sure la plus proche. N'utilisez pas les ascenseurs. Rendez-vous a votre point de rassemblement et attendez d'autres instructions.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Attention. Ici le service d'alerte d'urgence UPES. Mettez-vous a l'abri sur place maintenant. Rentrez a l'interieur, verrouillez ou bloquez votre porte, restez loin des fenetres, et gardez le silence jusqu'a ce qu'on vous dise que c'est sur. Attendez d'autres instructions.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Attention. Ici le service d'alerte d'urgence UPES. L'urgence est maintenant terminee. Vous pouvez reprendre vos activites normales en toute securite. Merci de votre cooperation.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Attention. Ici le service d'alerte d'urgence UPES. Rendez-vous a votre point de rassemblement designe maintenant. Deplacez-vous calmement, aidez les autres quand vous le pouvez, et attendez d'etre comptes. Attendez d'autres instructions.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Attention. Ici le service d'alerte d'urgence UPES. Ceci est un appel de securite. Si vous etes en securite et capable de repondre, appuyez sur 1 maintenant.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Ceci est un test du service d'alerte d'urgence UPES. Ce n'est qu'un test. Aucune action n'est requise, et aucune intervention d'urgence ne sera envoyee.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Appuyez sur 1 si vous etes en securite.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Merci. Vous etes marque en securite. Vous pouvez maintenant raccrocher.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Aucune reponse n'a ete enregistree. Veuillez contacter votre responsable des que possible.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Attention. Ici le service d'alerte d'urgence UPES. Evacuez le batiment maintenant. Sortez immediatement par la sortie sure la plus proche. N'utilisez pas les ascenseurs. Rendez-vous a votre point de rassemblement et attendez d'autres instructions.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Attention. Ici le service d'alerte d'urgence UPES. Il y a un incident sur le campus. Restez a l'ecart de la zone touchee, ne vous en approchez pas, et suivez les instructions du personnel de securite. Attendez d'autres instructions.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Attention. Ici le service d'alerte d'urgence UPES. L'urgence est maintenant terminee. Vous pouvez reprendre vos activites normales en toute securite. Merci de votre cooperation.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Attention. Ici le service d'alerte d'urgence UPES. Rendez-vous a votre point de rassemblement designe maintenant. Deplacez-vous calmement, aidez les autres quand vous le pouvez, et attendez d'etre comptes. Attendez d'autres instructions.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Attention. Ceci est une notification du service d'alerte d'urgence UPES. Veuillez ecouter attentivement et suivre les instructions qui suivent.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Ceci est un exercice du systeme d'urgence UPES. Ce n'est qu'un test. Aucune urgence reelle n'est en cours, et aucune intervention ne sera envoyee. Merci.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Aucun intervenant n'est disponible pour prendre votre appel pour le moment. Apres le signal sonore, veuillez dire votre nom, ou vous etes, et ce qui se passe. Restez en securite. Les secours vous rappelleront des que possible.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Desole. Vous n'etes pas autorise a utiliser cette fonction.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Veuillez rester en ligne. Nous vous mettons en relation avec un intervenant maintenant.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Vous etes maintenant en pause, et ne recevrez pas d'appels d'urgence. Composez etoile quatre six pour reprendre.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Vous etes maintenant disponible, et recevrez de nouveau les appels d'urgence.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Pour changer de langue, appuyez sur 1 pour l'anglais ou 2 pour le hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
