"id","category","file","max_seconds","en","hu","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Elerte a kampusz vészhelyzeti tanácsadó vonalát. Jelenleg egyetlen ügyeletes sem elérheto, és értesítettük a segítséget, hogy hívja vissza Önt. Maradjon nyugodt. Lélegezzen lassan. Elmondom, mit kell tennie. Ha teheti, most hívja fel az országos segélyhívó számot is.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Ez a kampusz vészhelyzeti tanácsadó vonala, teszt üzemmódban. Nem rögzítünk valós esetet. Elmondom, mit kell tennie vészhelyzet esetén.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Válassza ki a helyzetet. Nyomja meg az egyes gombot, ha valaki nem lélegzik vagy nincs pulzusa. A kettes gombot súlyos vérzés esetén. A hármas gombot fulladás esetén. A négyes gombot tuz vagy füst esetén. Az ötös gombot fenyegetés, támadó vagy lezárás esetén. A hatos gombot, ha valaki eszméletlen, de lélegzik. A hetes gombot, ha csapdába esett. A kilences gombot, ha újra próbálkozna egy ügyeletessel. A nyolcas gombot, ha üzenetet szeretne hagyni. A nullás gombot, ha újra hallani szeretné ezeket a lehetoségeket.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Fektesse a személyt a hátára egy szilárd felületre, és térdeljen mellé. Helyezze az egyik keze tövét a mellkas közepére, a másik kezét pedig rá. Nyomja le erosen és gyorsan, körülbelül másodpercenként kétszer, és engedje, hogy a mellkas minden alkalommal teljesen visszaemelkedjen. Folytassa megállás nélkül. Ha van valaki a közelben, küldje el a legközelebbi defibrillátorért, kapcsolja be, és kövesse a hangos utasításait. Ne álljon meg, amíg a segítség meg nem érkezik, vagy a személy magához nem tér.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Nyomja erosen és közvetlenül a sebre egy ruhával vagy a kezével. Ne vegye le a ruhát. Ha a vér átüt rajta, tegyen rá még többet, és nyomja tovább erosen. Ha egy kar vagy egy láb az, és a vérzés nem áll el, kössön egy eros szalagot szorosan néhány centiméterrel a seb fölött, a seb és a szív között, és jegyezze fel az idot. Tartsa a személyt melegen és mozdulatlanul.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Kérdezze meg, tud-e beszélni vagy köhögni. Ha nem tud lélegezni, álljon mögé, és a keze tövével mérjen öt eros ütést a lapockái közé. Ha ez nem segít, fogja át a karjaival a derekát, és nyomjon ötször gyorsan befelé és felfelé, közvetlenül a köldök felett. Ismételje a hátba ütéseket és a nyomásokat, amíg a tárgy ki nem jön, vagy a segítség meg nem érkezik.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Vigyen ki mindenkit azonnal, és ne álljon meg a holmikért. Maradjon lent a füst alatt, ahol tisztább a levego. Mielott bármelyik ajtót kinyitná, tapintsa meg a keze fejével. Ha forró, keressen másik kiutat. Ne használja a liftet. Ha kijutott, maradjon kint, és menjen a gyülekezoponthoz. Ne menjen vissza.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Ha biztonságosan el tudja hagyni a területet, csendben és gyorsan távolodjon el a veszélytol. Ha nem, menjen be egy szobába, zárja be vagy torlaszolja el az ajtót, és maradjon lent, távol az ablakoktól és ajtóktól. Kapcsolja le a világítást, és állítsa némára a telefonját. Maradjon csendben és rejtve. Ne nyissa ki az ajtót, amíg a biztonsági szolgálat vagy a rendorség nem közli, hogy biztonságos.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Ha a személy lélegzik, de nincs eszméleténél, óvatosan fordítsa az oldalára. Kissé hajtsa hátra a fejét, hogy a légút nyitva maradjon, és emelje meg az állát. Maradjon vele, és figyelje továbbra is, hogy lélegzik-e. Ha abbahagyja a lélegzést, kezdje meg a mellkaskompressziót a mellkas közepén.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Maradjon annyira nyugodt és mozdulatlan, amennyire csak tud, hogy levegot és energiát takarítson meg. Fedje be az orrát és a száját ruhával a por ellen. Kopogjon egyenletesen egy csövön, falon vagy bármilyen kemény felületen, hogy a mentok meghallják. Csak végso esetben kiabáljon, hogy elkerülje a por belélegzését. Ne gyújtson lángot. Mozogjon a leheto legkevesebbet, és várjon, amíg megtalálják.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Most próbálok elérni egy ügyeletest. Kérem, maradjon a vonalban, és várjon.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Még nincs elérheto ügyeletes. Önnel maradok. Visszatérünk a tanácsadáshoz.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Sajnálom, ezt nem értettem.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Nem hallottam választást.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Most lehetové teszem, hogy üzenetet hagyjon a reagáló csapatnak. A hangjelzés után mondja el, hol van, és mi történik.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Elsosegély-tanácsadás. Egy ügyeletest még mindig értesítünk, és csatlakozik, ha tud. Maradjon velem.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Elerte a kampusz vészhelyzeti vonalát. Hívását rögzítjük, és a segítség most úton van. Maradjon a vonalban. Ha valakinek most van szüksége elsosegélyre, nyomja meg az egyes gombot bármikor, és én végigvezetem.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Még kapcsoljuk egy ügyeleteshez. Ha most elsosegélyre van szüksége, nyomja meg az egyes gombot a lépésrol lépésre útmutatásért.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Vészhelyzeti riasztás. Aktív hívás van a kampusz vészhelyzeti vonalán, és egyetlen ügyeletes sem válaszolt. Kérjük, tegye magát elérhetové most. Nyomja meg az egyes gombot, hogy csatlakozzon a vészhelyzeti várólistához.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Most muszakban van. Vészhelyzeti hívásokat fog kapni a kampuszról, amíg a csillag ketto harom tárcsázásával le nem lép a muszakból.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Most lelépett a muszakból. Többé nem fog kampusz vészhelyzeti hívásokat kapni.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Ürítse ki az épületet azonnal. Távozzon haladéktalanul a legközelebbi biztonságos kijáraton. Ne használja a liftet. Menjen a gyülekezoponthoz, és várja a további utasításokat.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Maradjon a helyén, biztonságban, most. Menjen be, zárja be vagy torlaszolja el az ajtót, maradjon távol az ablakoktól, és maradjon csendben, amíg nem közlik, hogy biztonságos. Várja a további utasításokat.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. A vészhelyzet véget ért. Biztonságos a normál tevékenység folytatása. Köszönjük az együttmuködését.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Menjen a kijelölt gyülekezoponthoz most. Mozogjon nyugodtan, segítsen másoknak, ahol tud, és várjon a létszámellenorzésre. Várja a további utasításokat.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Ez egy biztonsági létszámellenorzés. Ha biztonságban van, és tud válaszolni, nyomja meg az egyes gombot most.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Ez a UPES vészhelyzeti riasztási szolgálatának tesztje. Ez csak egy teszt. Semmilyen teendo nincs, és nem indul vészhelyzeti reagálás.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Nyomja meg az egyes gombot, ha biztonságban van.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Köszönjük. Biztonságosként rögzítettük. Most leteheti a telefont.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Nem rögzítettünk választ. Kérjük, vegye fel a kapcsolatot a gondnokával, amint teheti.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Ürítse ki az épületet azonnal. Távozzon haladéktalanul a legközelebbi biztonságos kijáraton. Ne használja a liftet. Menjen a gyülekezoponthoz, és várja a további utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Esemény történt a kampuszon. Maradjon távol az érintett területtol, ne közelítse meg, és kövesse a biztonsági személyzet utasításait. Várja a további utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. A vészhelyzet véget ért. Biztonságos a normál tevékenység folytatása. Köszönjük az együttmuködését.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Figyelem. Ez a UPES vészhelyzeti riasztási szolgálata. Menjen a kijelölt gyülekezoponthoz most. Mozogjon nyugodtan, segítsen másoknak, ahol tud, és várjon a létszámellenorzésre. Várja a további utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Figyelem. Ez egy értesítés a UPES vészhelyzeti riasztási szolgálatától. Kérjük, figyeljen oda, és kövesse az ezt követo utasításokat.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Ez a UPES vészhelyzeti rendszerének gyakorlata. Ez csak egy teszt. Nincs valós vészhelyzet folyamatban, és nem indul reagálás. Köszönjük.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Jelenleg nincs elérheto ügyeletes, aki fogadhatná a hívását. A hangjelzés után kérjük, mondja el a nevét, hogy hol van, és mi történik. Maradjon biztonságban. A segítség a leheto leghamarabb visszahívja.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Sajnáljuk. Nincs jogosultsága a funkció használatához.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Kérjük, maradjon a vonalban. Most kapcsoljuk egy ügyeleteshez.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Most szüneteltetve van, és nem fog vészhelyzeti hívásokat kapni. A folytatáshoz tárcsázza a csillag négy hat kódot.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Most elérheto, és újra fog vészhelyzeti hívásokat kapni.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","A nyelv módosításához nyomja meg az 1-et az angolhoz, vagy a 2-t a hindihez.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
