"id","category","file","max_seconds","en","ne","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","तपाईं क्याम्पस आपतकालीन मार्गदर्शन लाइनमा पुग्नुभएको छ। यस समयमा कुनै रेस्पोन्डर उपलब्ध छैन, र तपाईंलाई फिर्ता कल गर्न सहायतालाई सूचित गरिएको छ। शान्त रहनुहोस्। बिस्तारै एक सास लिनुहोस्। के गर्ने भनेर म तपाईंलाई मार्गदर्शन गर्नेछु। सम्भव भए, अहिले नै आफ्नो राष्ट्रिय आपतकालीन नम्बरमा पनि कल गर्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","यो क्याम्पस आपतकालीन मार्गदर्शन लाइन हो, परीक्षण मोडमा। कुनै वास्तविक घटना दर्ता गरिँदैन। आपतकालमा के गर्ने भनेर म तपाईंलाई मार्गदर्शन गर्नेछु।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","अवस्था छान्नुहोस्। यदि कसैले सास फेरिरहेको छैन वा नाडी छैन भने, एक थिच्नुहोस्। गम्भीर रक्तस्रावका लागि दुई थिच्नुहोस्। घाँटीमा केही अड्किएमा तीन थिच्नुहोस्। आगो वा धुवाँका लागि चार थिच्नुहोस्। खतरा, आक्रमणकारी, वा लकडाउनका लागि पाँच थिच्नुहोस्। यदि कोही बेहोस छ तर सास फेरिरहेको छ भने छ थिच्नुहोस्। यदि तपाईं फसेको हुनुहुन्छ भने सात थिच्नुहोस्। रेस्पोन्डरलाई फेरि प्रयास गर्न नौ थिच्नुहोस्। सन्देश छोड्न आठ थिच्नुहोस्। यी विकल्पहरू फेरि सुन्न शून्य थिच्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","व्यक्तिलाई कुनै कडा सतहमा पिठ्यूँ पारेर सुताउनुहोस् र उनको छेउमा घुँडा टेकेर बस्नुहोस्। एउटा हातको कुर्कुच्चा छातीको बीचमा राख्नुहोस्, र अर्को हात त्यसमाथि। बलियो र छिटो थिच्नुहोस्, प्रत्येक सेकेन्डमा लगभग दुई पटक, र प्रत्येक पटक छाती पूरै माथि उठ्न दिनुहोस्। नरोकी जारी राख्नुहोस्। यदि कोही नजिक छ भने, उसलाई नजिकैको डिफिब्रिलेटर ल्याउन पठाउनुहोस्, र त्यसलाई सुरु गरेर त्यसले बोलेका निर्देशनहरू पालना गर्नुहोस्। सहायता नआएसम्म वा व्यक्ति नब्युँझेसम्म नरोक्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","घाउमा कुनै कपडा वा आफ्नो हातले सीधा र बलियोसँग थिच्नुहोस्। कपडा नहटाउनुहोस्। यदि रगत चुहिएर बाहिर आयो भने, माथि थप कपडा राखेर बलियोसँग थिचिरहनुहोस्। यदि यो हात वा खुट्टा हो र रगत रोकिँदैन भने, घाउभन्दा केही सेन्टिमिटर माथि, घाउ र मुटुको बीचमा, एउटा बलियो पट्टी कसेर बाँध्नुहोस्, र समय टिप्नुहोस्। व्यक्तिलाई न्यानो र स्थिर राख्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","उनीहरूले बोल्न वा खोक्न सक्छन् कि भनेर सोध्नुहोस्। यदि उनीहरूले सास फेर्न सक्दैनन् भने, उनीहरूको पछाडि उभिएर आफ्नो हातको कुर्कुच्चाले काँधका बीचमा पिठ्यूँमा पाँच पटक बलियो प्रहार गर्नुहोस्। यदि त्यसले काम गर्दैन भने, आफ्ना हातहरू उनीहरूको कम्मरको वरिपरि बेरेर, नाइटोभन्दा ठीक माथि पाँच पटक छिटो भित्र र माथितिर धकेल्नुहोस्। वस्तु बाहिर नआएसम्म वा सहायता नआएसम्म पिठ्यूँको प्रहार र धकेल्ने काम दोहोर्‍याइरहनुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","अहिले नै सबैलाई बाहिर निकाल्नुहोस्, र सामानका लागि नरोक्नुहोस्। धुवाँमुनि निहुरिएर रहनुहोस्, जहाँ हावा सफा हुन्छ। कुनै पनि ढोका खोल्नुअघि, आफ्नो हातको पछाडिको भागले त्यसलाई छोएर हेर्नुहोस्। यदि त्यो तातो छ भने, बाहिर निस्कने अर्को बाटो खोज्नुहोस्। लिफ्ट प्रयोग नगर्नुहोस्। बाहिर निस्केपछि बाहिरै रहनुहोस्, र भेला हुने स्थलतिर जानुहोस्। फेरि भित्र नजानुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","यदि तपाईं सुरक्षित रूपमा क्षेत्र छोड्न सक्नुहुन्छ भने, चुपचाप र छिटो खतराबाट टाढा जानुहोस्। सक्नुहुन्न भने, कुनै कोठामा जानुहोस्, ढोका बन्द गर्नुहोस् वा छेक्नुहोस्, र झ्याल तथा ढोकाबाट टाढा, निहुरिएर रहनुहोस्। बत्ती निभाउनुहोस् र आफ्नो फोन साइलेन्टमा राख्नुहोस्। चुप र नजरबाट ओझेल रहनुहोस्। सुरक्षा वा प्रहरीले सुरक्षित छ नभनेसम्म ढोका नखोल्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","यदि व्यक्ति सास फेरिरहेको छ तर होसमा छैन भने, उसलाई बिस्तारै एक छेउतिर पल्टाउनुहोस्। सास फेर्ने बाटो खुला राख्न उसको टाउको अलिकति पछाडि झुकाउनुहोस्, र चिउँडो माथि उठाउनुहोस्। उसको साथमा रहनुहोस् र ऊ अझै सास फेरिरहेको छ कि भनेर हेरिरहनुहोस्। यदि उसले सास फेर्न रोक्यो भने, छातीको बीचमा थिच्न सुरु गर्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","हावा र ऊर्जा बचाउन सकेसम्म शान्त र स्थिर रहनुहोस्। धूलोबाट जोगिन आफ्नो नाक र मुख कपडाले छोप्नुहोस्। उद्धारकर्ताहरूले तपाईंको आवाज सुन्न सकून् भनेर, कुनै पाइप, भित्ता, वा कुनै कडा सतहमा लगातार ठक्ठक्याउनुहोस्। धूलो भित्र नजाओस् भनेर, अन्तिम उपायका रूपमा मात्र चिच्याउनुहोस्। कुनै आगो नबाल्नुहोस्। सकेसम्म कम हलचल गर्नुहोस् र भेटिने प्रतीक्षा गर्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","म अहिले एक रेस्पोन्डरसँग सम्पर्क गर्ने प्रयास गर्दैछु। कृपया लाइनमा रहनुहोस् र पर्खनुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","अहिलेसम्म कुनै रेस्पोन्डर उपलब्ध छैन। म तपाईंसँगै रहनेछु। मार्गदर्शनमा फर्कँदैछौं।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","माफ गर्नुहोस्, मैले त्यो बुझिनँ।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","मैले कुनै छनोट सुनिनँ।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","अब म तपाईंलाई प्रतिक्रिया टोलीका लागि एउटा सन्देश छोड्न दिनेछु। टोनपछि, तपाईं कहाँ हुनुहुन्छ र के भइरहेको छ भन्नुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","प्राथमिक उपचार मार्गदर्शन। एक रेस्पोन्डरलाई अझै सूचित गरिँदैछ र सम्भव भए उनी सामेल हुनेछन्। मसँगै रहनुहोस्।","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","तपाईं क्याम्पस आपतकालीन लाइनमा पुग्नुभएको छ। तपाईंको कल रेकर्ड गरिँदैछ, र अहिले सहायता पुगिँदैछ। लाइनमा रहनुहोस्। यदि कसैलाई अहिले प्राथमिक उपचार चाहिन्छ भने, जुनसुकै बेला एक थिच्नुहोस्, र म तपाईंलाई मार्गदर्शन गर्नेछु।","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","तपाईंलाई अझै एक रेस्पोन्डरसँग जोडिँदैछ। यदि तपाईंलाई अहिले प्राथमिक उपचार चाहिन्छ भने, चरणबद्ध मार्गदर्शनका लागि एक थिच्नुहोस्।","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","आपतकालीन सतर्कता। क्याम्पस आपतकालीन लाइनमा एउटा सक्रिय कल छ र कुनै रेस्पोन्डरले जवाफ दिएको छैन। कृपया अहिले उपलब्ध हुनुहोस्। आपतकालीन पंक्तिमा सामेल हुन एक थिच्नुहोस्।","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","अब तपाईं ड्युटीमा हुनुहुन्छ। तपाईंले स्टार दुई तीन डायल गरेर ड्युटीबाट नहटेसम्म, तपाईंलाई क्याम्पस आपतकालीन कलहरू आइरहनेछन्।","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","अब तपाईं ड्युटीबाट हट्नुभयो। अब तपाईंलाई क्याम्पस आपतकालीन कलहरू आउने छैनन्।","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। अहिले नै भवन खाली गर्नुहोस्। नजिकैको सुरक्षित निकासबाट तुरुन्तै बाहिर निस्कनुहोस्। लिफ्ट प्रयोग नगर्नुहोस्। आफ्नो भेला हुने स्थलमा जानुहोस् र थप निर्देशनको प्रतीक्षा गर्नुहोस्।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। अहिले जहाँ हुनुहुन्छ त्यहीँ सुरक्षित रहनुहोस्। भित्र जानुहोस्, आफ्नो ढोका बन्द गर्नुहोस् वा छेक्नुहोस्, झ्यालबाट टाढा रहनुहोस्, र सुरक्षित भएको जानकारी नआएसम्म चुप रहनुहोस्। थप निर्देशनको प्रतीक्षा गर्नुहोस्।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। आपतकाल अब समाप्त भएको छ। सामान्य गतिविधि पुनः सुरु गर्नु सुरक्षित छ। तपाईंको सहयोगका लागि धन्यवाद।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। अहिले नै आफ्नो तोकिएको भेला हुने स्थलमा जानुहोस्। शान्तसँग हिँड्नुहोस्, सक्ने ठाउँमा अरूलाई सहायता गर्नुहोस्, र गणनाका लागि पर्खनुहोस्। थप निर्देशनको प्रतीक्षा गर्नुहोस्।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। यो एक सुरक्षा गणना हो। यदि तपाईं सुरक्षित हुनुहुन्छ र जवाफ दिन सक्नुहुन्छ भने, अहिले नै एक थिच्नुहोस्।","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","यो यूपीईएस आपतकालीन सतर्कता सेवाको एक परीक्षण हो। यो केवल एक परीक्षण हो। कुनै कारबाही आवश्यक छैन, र कुनै आपतकालीन प्रतिक्रिया पठाइने छैन।","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","यदि तपाईं सुरक्षित हुनुहुन्छ भने एक थिच्नुहोस्।","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","धन्यवाद। तपाईंलाई सुरक्षित दर्ता गरिएको छ। अब तपाईं कल समाप्त गर्न सक्नुहुन्छ।","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","कुनै जवाफ दर्ता भएन। कृपया सकेसम्म चाँडो आफ्नो वार्डेनसँग सम्पर्क गर्नुहोस्।","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। अहिले नै भवन खाली गर्नुहोस्। नजिकैको सुरक्षित निकासबाट तुरुन्तै बाहिर निस्कनुहोस्। लिफ्ट प्रयोग नगर्नुहोस्। आफ्नो भेला हुने स्थलमा जानुहोस् र थप निर्देशनको प्रतीक्षा गर्नुहोस्।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। क्याम्पसमा एउटा घटना भएको छ। प्रभावित क्षेत्रबाट टाढा रहनुहोस्, नजिक नजानुहोस्, र सुरक्षा कर्मचारीका निर्देशनहरू पालना गर्नुहोस्। थप निर्देशनको प्रतीक्षा गर्नुहोस्।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। आपतकाल अब समाप्त भएको छ। सामान्य गतिविधि पुनः सुरु गर्नु सुरक्षित छ। तपाईंको सहयोगका लागि धन्यवाद।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवा हो। अहिले नै आफ्नो तोकिएको भेला हुने स्थलमा जानुहोस्। शान्तसँग हिँड्नुहोस्, सक्ने ठाउँमा अरूलाई सहायता गर्नुहोस्, र गणनाका लागि पर्खनुहोस्। थप निर्देशनको प्रतीक्षा गर्नुहोस्।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","ध्यान दिनुहोस्। यो यूपीईएस आपतकालीन सतर्कता सेवाबाट एउटा सूचना हो। कृपया ध्यानपूर्वक सुन्नुहोस् र यसपछि आउने निर्देशनहरू पालना गर्नुहोस्।","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","यो यूपीईएस आपतकालीन प्रणालीको एक अभ्यास हो। यो केवल एक परीक्षण हो। कुनै वास्तविक आपतकाल भइरहेको छैन, र कुनै प्रतिक्रिया पठाइने छैन। धन्यवाद।","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","अहिले तपाईंको कल लिन कुनै रेस्पोन्डर उपलब्ध छैन। टोनपछि, कृपया आफ्नो नाम, तपाईं कहाँ हुनुहुन्छ, र के भइरहेको छ भन्नुहोस्। सुरक्षित रहनुहोस्। सहायताले सकेसम्म चाँडो तपाईंलाई फिर्ता कल गर्नेछ।","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","माफ गर्नुहोस्। तपाईंलाई यो सुविधा प्रयोग गर्ने अनुमति छैन।","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","कृपया लाइनमा रहनुहोस्। हामी अहिले तपाईंलाई एक रेस्पोन्डरसँग जोड्दैछौं।","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","अब तपाईं रोकिनुभएको छ, र तपाईंलाई आपतकालीन कलहरू आउने छैनन्। पुनः सुरु गर्न स्टार चार छ डायल गर्नुहोस्।","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","अब तपाईं उपलब्ध हुनुहुन्छ, र तपाईंलाई फेरि आपतकालीन कलहरू आउनेछन्।","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","भाषा परिवर्तन गर्न, अङ्ग्रेजीको लागि 1 थिच्नुहोस्, वा हिन्दीको लागि 2 थिच्नुहोस्।","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
