"id","category","file","max_seconds","en","nl","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","U hebt de noodhulplijn van de campus bereikt. Op dit moment is er geen hulpverlener vrij, en er is alarm geslagen zodat men u terugbelt. Blijf kalm. Haal langzaam adem. Ik begeleid u bij wat u moet doen. Als u kunt, bel dan nu ook uw nationale noodnummer.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dit is de noodhulplijn van de campus, in testmodus. Er wordt geen echt incident geregistreerd. Ik begeleid u bij wat u in een noodgeval moet doen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Kies de situatie. Druk op een als iemand niet ademt of geen hartslag heeft. Druk op twee bij hevige bloeding. Druk op drie bij verstikking. Druk op vier bij brand of rook. Druk op vijf bij een dreiging, een aanvaller of een lockdown. Druk op zes als iemand bewusteloos is maar wel ademt. Druk op zeven als u vastzit. Druk op negen om opnieuw een hulpverlener te proberen. Druk op acht om een bericht achter te laten. Druk op nul om deze keuzes opnieuw te horen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Leg de persoon op de rug op een stevige ondergrond en kniel ernaast. Plaats de hiel van een hand op het midden van de borstkas, en uw andere hand daarbovenop. Duw hard en snel naar beneden, ongeveer twee keer per seconde, en laat de borstkas elke keer volledig omhoogkomen. Ga door zonder te stoppen. Als er iemand in de buurt is, stuur die dan om de dichtstbijzijnde defibrillator te halen, zet die aan en volg de gesproken instructies. Stop niet totdat er hulp aankomt of de persoon wakker wordt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Druk stevig en rechtstreeks op de wond met een doek of uw hand. Verwijder de doek niet. Als er bloed doorheen komt, leg er dan meer bovenop en blijf hard drukken. Als het een arm of een been is en de bloeding stopt niet, bind dan een stevige band strak vast een paar centimeter boven de wond, tussen de wond en het hart, en noteer de tijd. Houd de persoon warm en stil.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Vraag of ze kunnen spreken of hoesten. Als ze niet kunnen ademen, ga dan achter hen staan en geef vijf stevige slagen tussen de schouderbladen met de hiel van uw hand. Als dat niet werkt, sla dan uw armen om hun middel en geef vijf snelle stoten naar binnen en naar boven, net boven de navel. Blijf de rugslagen en de stoten herhalen totdat het voorwerp eruit komt of er hulp aankomt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Breng nu iedereen naar buiten, en stop niet voor spullen. Blijf laag onder de rook, waar de lucht schoner is. Voel voordat u een deur opent aan de deur met de rug van uw hand. Als die warm is, zoek dan een andere uitweg. Gebruik de liften niet. Als u eenmaal buiten bent, blijf dan buiten en ga naar het verzamelpunt. Ga niet terug naar binnen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Als u het gebied veilig kunt verlaten, ga dan stil en snel weg van het gevaar. Als dat niet lukt, ga dan een ruimte in, vergrendel of blokkeer de deur, en blijf laag, weg van ramen en deuren. Doe de lichten uit en zet uw telefoon op stil. Blijf stil en uit het zicht. Open de deur niet totdat de beveiliging of de politie zegt dat het veilig is.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Als de persoon ademt maar niet wakker is, draai hem dan voorzichtig op zijn zij. Kantel het hoofd iets naar achteren om de luchtweg open te houden, en til de kin op. Blijf bij hem en blijf controleren of hij nog ademt. Als hij stopt met ademen, begin dan met borstcompressies op het midden van de borstkas.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Blijf zo kalm en stil mogelijk, om lucht en energie te sparen. Bedek uw neus en mond met een doek tegen het stof. Tik gestaag op een leiding, een muur of een hard oppervlak, zodat redders u kunnen horen. Roep alleen als laatste redmiddel, om te voorkomen dat u stof inademt. Steek geen vlam aan. Beweeg zo weinig mogelijk en wacht tot u gevonden wordt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Ik probeer nu een hulpverlener te bereiken. Blijf alstublieft aan de lijn en wacht even.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Er is nog geen hulpverlener vrij. Ik blijf bij u. We keren terug naar de begeleiding.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Sorry, dat heb ik niet begrepen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Ik heb geen keuze gehoord.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Ik laat u nu een bericht achterlaten voor het hulpverleningsteam. Zeg na de toon waar u bent en wat er aan de hand is.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Eerstehulpbegeleiding. Er wordt nog steeds een hulpverlener gealarmeerd, die zich aansluit als het kan. Blijf bij mij.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","U hebt de noodlijn van de campus bereikt. Uw gesprek wordt opgenomen, en er wordt nu hulp ingeschakeld. Blijf aan de lijn. Als iemand nu eerste hulp nodig heeft, druk dan op elk moment op een, en ik begeleid u.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","We verbinden u nog steeds met een hulpverlener. Als u nu eerste hulp nodig hebt, druk dan op een voor stapsgewijze begeleiding.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Noodmelding. Er is een lopend gesprek op de noodlijn van de campus en er heeft geen hulpverlener opgenomen. Maak uzelf nu alstublieft beschikbaar. Druk op een om u aan te sluiten bij de noodwachtrij.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","U bent nu in dienst. U ontvangt noodoproepen van de campus totdat u uit dienst gaat door ster twee drie te bellen.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","U bent nu uit dienst. U ontvangt geen noodoproepen van de campus meer.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Let op. Dit is de UPES noodwaarschuwingsdienst. Ontruim nu het gebouw. Vertrek onmiddellijk via de dichtstbijzijnde veilige uitgang. Gebruik de liften niet. Ga naar uw verzamelpunt en wacht op verdere instructies.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Let op. Dit is de UPES noodwaarschuwingsdienst. Zoek nu ter plaatse beschutting. Ga naar binnen, vergrendel of blokkeer uw deur, blijf weg van ramen, en blijf stil totdat u te horen krijgt dat het veilig is. Wacht op verdere instructies.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Let op. Dit is de UPES noodwaarschuwingsdienst. Het noodgeval is nu voorbij. Het is veilig om de normale activiteiten te hervatten. Bedankt voor uw medewerking.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Let op. Dit is de UPES noodwaarschuwingsdienst. Ga nu naar uw aangewezen verzamelpunt. Loop rustig, help anderen waar u kunt, en wacht om geteld te worden. Wacht op verdere instructies.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Let op. Dit is de UPES noodwaarschuwingsdienst. Dit is een veiligheidstelling. Als u veilig bent en kunt reageren, druk dan nu op een.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Dit is een test van de UPES noodwaarschuwingsdienst. Dit is slechts een test. Er is geen actie vereist, en er wordt geen noodhulp uitgestuurd.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Druk op een als u veilig bent.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Bedankt. U bent als veilig gemarkeerd. U kunt nu ophangen.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Er is geen reactie geregistreerd. Neem alstublieft zo snel mogelijk contact op met uw verantwoordelijke.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Let op. Dit is de UPES noodwaarschuwingsdienst. Ontruim nu het gebouw. Vertrek onmiddellijk via de dichtstbijzijnde veilige uitgang. Gebruik de liften niet. Ga naar uw verzamelpunt en wacht op verdere instructies.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Let op. Dit is de UPES noodwaarschuwingsdienst. Er is een incident op de campus. Blijf weg van het getroffen gebied, kom niet dichterbij, en volg de instructies van het beveiligingspersoneel. Wacht op verdere instructies.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Let op. Dit is de UPES noodwaarschuwingsdienst. Het noodgeval is nu voorbij. Het is veilig om de normale activiteiten te hervatten. Bedankt voor uw medewerking.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Let op. Dit is de UPES noodwaarschuwingsdienst. Ga nu naar uw aangewezen verzamelpunt. Loop rustig, help anderen waar u kunt, en wacht om geteld te worden. Wacht op verdere instructies.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Let op. Dit is een melding van de UPES noodwaarschuwingsdienst. Luister alstublieft goed en volg de instructies die volgen.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Dit is een oefening van het UPES noodsysteem. Dit is slechts een test. Er is geen echt noodgeval aan de gang, en er wordt geen hulp uitgestuurd. Bedankt.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Er is op dit moment geen hulpverlener beschikbaar om uw gesprek aan te nemen. Zeg na de toon alstublieft uw naam, waar u bent, en wat er aan de hand is. Blijf veilig. De hulp belt u zo snel mogelijk terug.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Sorry. U bent niet bevoegd om deze functie te gebruiken.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Blijf alstublieft aan de lijn. We verbinden u nu met een hulpverlener.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","U bent nu gepauzeerd, en ontvangt geen noodoproepen. Bel ster vier zes om te hervatten.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","U bent nu beschikbaar, en ontvangt weer noodoproepen.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Om de taal te wijzigen, druk op 1 voor Engels of 2 voor Hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
