"id","category","file","max_seconds","en","no","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Du har kommet til campusets nødveiledningslinje. Ingen beredskapsperson er ledig akkurat nå, og hjelp er varslet om å ringe deg tilbake. Hold deg rolig. Ta et langsomt åndedrag. Jeg vil veilede deg gjennom hva du skal gjøre. Hvis du er i stand til det, ring også ditt nasjonale nødnummer nå.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Dette er campusets nødveiledningslinje, i testmodus. Ingen reell hendelse blir loggført. Jeg vil veilede deg gjennom hva du skal gjøre i en nødsituasjon.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Velg situasjonen. Trykk 1 hvis noen ikke puster eller ikke har puls. Trykk 2 for kraftig blødning. Trykk 3 for kvelning. Trykk 4 for brann eller røyk. Trykk 5 for en trussel, en angriper eller nedstenging. Trykk 6 hvis noen er bevisstløs, men puster. Trykk 7 hvis du er innesperret. Trykk 9 for å prøve en beredskapsperson igjen. Trykk 8 for å legge igjen en beskjed. Trykk 0 for å høre disse valgene igjen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Legg personen på ryggen på et fast underlag og knel ved siden av dem. Plasser hælen av den ene hånden midt på brystet, og den andre hånden oppå. Trykk hardt og raskt ned, omtrent to ganger i sekundet, og la brystet heve seg helt hver gang. Fortsett uten å stoppe. Hvis noen er i nærheten, send dem etter nærmeste hjertestarter, og slå den på for å følge dens talte instruksjoner. Ikke stopp før hjelpen kommer eller personen våkner.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Trykk fast og direkte på såret med et tøystykke eller hånden din. Ikke fjern tøystykket. Hvis blod trenger gjennom, legg mer oppå og fortsett å trykke hardt. Hvis det er en arm eller et ben og blødningen ikke stopper, bind et sterkt bånd stramt noen centimeter ovenfor såret, mellom såret og hjertet, og noter tidspunktet. Hold personen varm og i ro.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Spør om de kan snakke eller hoste. Hvis de ikke kan puste, still deg bak dem og gi fem faste slag mellom skulderbladene med hælen av hånden din. Hvis det ikke virker, legg armene rundt livet deres og gi fem raske støt innover og oppover rett over navlen. Fortsett å gjenta ryggslagene og støtene til gjenstanden kommer ut eller hjelpen kommer.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Få alle ut nå, og ikke stopp for eiendeler. Hold deg lavt under røyken, der luften er klarere. Før du åpner en dør, kjenn på den med baksiden av hånden. Hvis den er varm, finn en annen vei ut. Ikke bruk heisene. Når du er ute, bli ute, og gå til oppmøteplassen. Ikke gå inn igjen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Hvis du trygt kan forlate området, beveg deg bort fra faren stille og raskt. Hvis du ikke kan, gå inn i et rom, lås eller blokker døren, og hold deg lavt, borte fra vinduer og dører. Slå av lysene og sett telefonen på lydløs. Vær stille og skjult. Ikke åpne døren før vakthold eller politiet sier at det er trygt.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Hvis personen puster, men ikke er våken, rull dem forsiktig over på siden. Vipp hodet deres litt bakover for å holde luftveien åpen, og løft haken. Bli hos dem og fortsett å følge med på at de fortsatt puster. Hvis de slutter å puste, begynn med brystkompresjoner midt på brystet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Hold deg så rolig og i ro som du kan, for å spare luft og energi. Dekk nese og munn med tøy mot støv. Bank jevnt på et rør, en vegg eller en hvilken som helst hard flate, slik at redningsmannskaper kan høre deg. Rop bare som en siste utvei, for å unngå å puste inn støv. Ikke tenn noen flamme. Beveg deg så lite som mulig og vent på å bli funnet.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Jeg prøver å nå en beredskapsperson nå. Vennligst bli på linjen og vent.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Ingen beredskapsperson er ledig ennå. Jeg blir hos deg. Går tilbake til veiledningen.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Beklager, jeg forsto ikke det.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Jeg hørte ikke noe valg.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Jeg lar deg nå legge igjen en beskjed til beredskapsteamet. Etter tonen, si hvor du er og hva som skjer.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Førstehjelpsveiledning. En beredskapsperson blir fortsatt varslet og vil koble seg på hvis de kan. Bli hos meg.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Du har kommet til campusets nødlinje. Anropet ditt blir tatt opp, og hjelp blir nådd nå. Bli på linjen. Hvis noen trenger førstehjelp akkurat nå, trykk 1 når som helst, og jeg vil veilede deg.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Kobler deg fortsatt til en beredskapsperson. Hvis du trenger førstehjelp nå, trykk 1 for trinnvis veiledning.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Nødvarsel. Det er et aktivt anrop på campusets nødlinje, og ingen beredskapsperson har svart. Vennligst gjør deg tilgjengelig nå. Trykk 1 for å bli med i nødkøen.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Du er nå på vakt. Du vil motta campusets nødanrop til du går av vakt ved å slå stjerne to tre.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Du er nå av vakt. Du vil ikke lenger motta campusets nødanrop.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Evakuer bygningen nå. Forlat den umiddelbart gjennom nærmeste trygge utgang. Ikke bruk heisene. Gå til oppmøteplassen din og vent på videre instruksjoner.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Søk ly der du er nå. Gå innendørs, lås eller blokker døren din, hold deg borte fra vinduer, og vær stille til du får beskjed om at det er trygt. Vent på videre instruksjoner.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Nødsituasjonen er nå over. Det er trygt å gjenoppta normal aktivitet. Takk for samarbeidet.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Gå til din tildelte oppmøteplass nå. Beveg deg rolig, hjelp andre der du kan, og vent på å bli telt. Vent på videre instruksjoner.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Dette er en sikkerhetsopptelling. Hvis du er trygg og i stand til å svare, trykk 1 nå.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Dette er en test av UPES nødvarslingstjeneste. Dette er bare en test. Ingen handling er nødvendig, og ingen nødrespons vil bli sendt ut.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Trykk 1 hvis du er trygg.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Takk. Du er markert som trygg. Du kan nå legge på.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Ingen respons ble registrert. Vennligst kontakt din vaktansvarlige så snart du kan.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Evakuer bygningen nå. Forlat den umiddelbart gjennom nærmeste trygge utgang. Ikke bruk heisene. Gå til oppmøteplassen din og vent på videre instruksjoner.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Det er en hendelse på campus. Hold deg borte fra det berørte området, ikke gå nær, og følg instruksjonene fra sikkerhetspersonellet. Vent på videre instruksjoner.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Nødsituasjonen er nå over. Det er trygt å gjenoppta normal aktivitet. Takk for samarbeidet.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Oppmerksomhet. Dette er UPES nødvarslingstjeneste. Gå til din tildelte oppmøteplass nå. Beveg deg rolig, hjelp andre der du kan, og vent på å bli telt. Vent på videre instruksjoner.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Oppmerksomhet. Dette er en melding fra UPES nødvarslingstjeneste. Vennligst lytt nøye og følg instruksjonene som kommer.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Dette er en øvelse for UPES nødsystem. Dette er bare en test. Ingen reell nødsituasjon pågår, og ingen respons vil bli sendt ut. Takk.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Ingen beredskapsperson er tilgjengelig for å ta anropet ditt akkurat nå. Etter tonen, vennligst si navnet ditt, hvor du er, og hva som skjer. Hold deg trygg. Hjelp vil ringe deg tilbake så snart som mulig.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Beklager. Du har ikke tillatelse til å bruke denne funksjonen.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Vennligst bli på linjen. Vi kobler deg til en beredskapsperson nå.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Du er nå satt på pause, og vil ikke motta nødanrop. Slå stjerne fire seks for å gjenoppta.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Du er nå tilgjengelig, og vil motta nødanrop igjen.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","For å endre språk, trykk 1 for engelsk eller 2 for hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
