"id","category","file","max_seconds","en","pl","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Dodzwoniłeś się na kampusową linię wsparcia w nagłych wypadkach. W tej chwili żaden ratownik nie jest dostępny, a pomoc została powiadomiona, aby oddzwonić. Zachowaj spokój. Weź powolny oddech. Poprowadzę cię przez to, co należy zrobić. Jeśli możesz, zadzwoń teraz również na krajowy numer alarmowy.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","To jest kampusowa linia wsparcia w nagłych wypadkach, w trybie testowym. Żadne prawdziwe zdarzenie nie jest rejestrowane. Poprowadzę cię przez to, co należy zrobić w nagłym wypadku.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Wybierz sytuację. Naciśnij jeden, jeśli ktoś nie oddycha lub nie ma tętna. Naciśnij dwa w przypadku silnego krwawienia. Naciśnij trzy w przypadku zadławienia. Naciśnij cztery w przypadku pożaru lub dymu. Naciśnij pięć w przypadku zagrożenia, napastnika lub blokady. Naciśnij sześć, jeśli ktoś jest nieprzytomny, ale oddycha. Naciśnij siedem, jeśli jesteś uwięziony. Naciśnij dziewięć, aby ponownie spróbować połączyć się z ratownikiem. Naciśnij osiem, aby zostawić wiadomość. Naciśnij zero, aby ponownie usłyszeć te opcje.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Połóż osobę na plecach na twardej powierzchni i uklęknij obok niej. Umieść nasadę jednej dłoni na środku klatki piersiowej, a drugą dłoń na wierzchu. Uciskaj mocno i szybko, około dwa razy na sekundę, za każdym razem pozwalając klatce piersiowej całkowicie się unieść. Kontynuuj bez przerywania. Jeśli ktoś jest w pobliżu, wyślij go po najbliższy defibrylator, włącz go i postępuj zgodnie z jego głosowymi instrukcjami. Nie przerywaj, dopóki nie nadejdzie pomoc lub osoba się nie obudzi.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Uciskaj mocno i bezpośrednio ranę za pomocą materiału lub dłoni. Nie zdejmuj materiału. Jeśli krew przesiąknie, dołóż więcej na wierzch i mocno uciskaj dalej. Jeśli to ręka lub noga, a krwawienie nie ustaje, zawiąż mocną opaskę ciasno kilka centymetrów powyżej rany, między raną a sercem, i zanotuj czas. Utrzymuj osobę w cieple i w bezruchu.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Zapytaj, czy może mówić lub kaszleć. Jeśli nie może oddychać, stań za nią i wykonaj pięć mocnych uderzeń między łopatkami nasadą dłoni. Jeśli to nie pomoże, obejmij ją ramionami w talii i wykonaj pięć szybkich pchnięć do wewnątrz i do góry tuż powyżej pępka. Powtarzaj uderzenia w plecy i pchnięcia, aż przedmiot wypadnie lub nadejdzie pomoc.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Wyprowadź teraz wszystkich na zewnątrz i nie zatrzymuj się po rzeczy. Trzymaj się nisko pod dymem, gdzie powietrze jest czystsze. Przed otwarciem jakichkolwiek drzwi sprawdź je wierzchem dłoni. Jeśli są gorące, znajdź inną drogę wyjścia. Nie korzystaj z wind. Gdy już jesteś na zewnątrz, pozostań na zewnątrz i przejdź do punktu zbiórki. Nie wracaj do środka.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Jeśli możesz bezpiecznie opuścić ten obszar, oddal się od niebezpieczeństwa cicho i szybko. Jeśli nie możesz, wejdź do pomieszczenia, zamknij lub zablokuj drzwi i pozostań nisko, z dala od okien i drzwi. Wyłącz światła i ustaw telefon na tryb cichy. Zachowaj ciszę i pozostań poza zasięgiem wzroku. Nie otwieraj drzwi, dopóki ochrona lub policja nie powiedzą, że jest bezpiecznie.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Jeśli osoba oddycha, ale jest nieprzytomna, delikatnie obróć ją na bok. Odchyl jej głowę lekko do tyłu, aby udrożnić drogi oddechowe, i unieś podbródek. Pozostań przy niej i obserwuj, czy nadal oddycha. Jeśli przestanie oddychać, rozpocznij uciskanie klatki piersiowej na jej środku.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Zachowaj jak największy spokój i bezruch, aby oszczędzać powietrze i energię. Zasłoń nos i usta materiałem, chroniąc się przed kurzem. Stukaj miarowo w rurę, ścianę lub jakąkolwiek twardą powierzchnię, aby ratownicy mogli cię usłyszeć. Krzycz tylko w ostateczności, aby nie wdychać kurzu. Nie zapalaj żadnego ognia. Poruszaj się jak najmniej i czekaj, aż zostaniesz odnaleziony.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Próbuję teraz połączyć się z ratownikiem. Proszę, pozostań na linii i zaczekaj.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Żaden ratownik nie jest jeszcze dostępny. Zostanę z tobą. Wracam do wskazówek.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Przepraszam, nie zrozumiałem tego.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Nie usłyszałem wyboru.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Teraz umożliwię ci zostawienie wiadomości dla zespołu ratunkowego. Po sygnale powiedz, gdzie jesteś i co się dzieje.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Wskazówki pierwszej pomocy. Ratownik jest wciąż powiadamiany i dołączy, jeśli będzie mógł. Pozostań ze mną.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Dodzwoniłeś się na kampusową linię alarmową. Twoje połączenie jest nagrywane, a pomoc jest teraz wzywana. Pozostań na linii. Jeśli ktoś potrzebuje teraz pierwszej pomocy, naciśnij jeden w dowolnym momencie, a poprowadzę cię.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Wciąż łączę cię z ratownikiem. Jeśli potrzebujesz teraz pierwszej pomocy, naciśnij jeden, aby uzyskać wskazówki krok po kroku.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Alarm awaryjny. Na kampusowej linii alarmowej jest aktywne połączenie i żaden ratownik nie odpowiedział. Proszę, zgłoś teraz swoją dostępność. Naciśnij jeden, aby dołączyć do kolejki alarmowej.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Jesteś teraz na dyżurze. Będziesz otrzymywać kampusowe połączenia alarmowe, dopóki nie zakończysz dyżuru, wybierając gwiazdka dwa trzy.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Zakończyłeś dyżur. Nie będziesz już otrzymywać kampusowych połączeń alarmowych.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Ewakuuj teraz budynek. Wyjdź natychmiast najbliższym bezpiecznym wyjściem. Nie korzystaj z wind. Przejdź do punktu zbiórki i czekaj na dalsze instrukcje.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Schroń się teraz w miejscu, w którym jesteś. Przejdź do wnętrza budynku, zamknij lub zablokuj drzwi, trzymaj się z dala od okien i zachowaj ciszę, dopóki nie otrzymasz informacji, że jest bezpiecznie. Czekaj na dalsze instrukcje.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Sytuacja awaryjna została zakończona. Można bezpiecznie wrócić do normalnych czynności. Dziękujemy za współpracę.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Udaj się teraz do wyznaczonego punktu zbiórki. Poruszaj się spokojnie, pomagaj innym, gdzie możesz, i czekaj na policzenie. Czekaj na dalsze instrukcje.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. To jest sprawdzenie obecności dla bezpieczeństwa. Jeśli jesteś bezpieczny i możesz odpowiedzieć, naciśnij teraz jeden.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","To jest test Służby Powiadamiania Alarmowego UPES. To jest tylko test. Nie jest wymagane żadne działanie i nie zostanie wysłana żadna ekipa ratunkowa.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Naciśnij jeden, jeśli jesteś bezpieczny.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Dziękujemy. Zostałeś oznaczony jako bezpieczny. Możesz teraz się rozłączyć.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Nie zarejestrowano żadnej odpowiedzi. Skontaktuj się ze swoim opiekunem, gdy tylko będziesz mógł.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Ewakuuj teraz budynek. Wyjdź natychmiast najbliższym bezpiecznym wyjściem. Nie korzystaj z wind. Przejdź do punktu zbiórki i czekaj na dalsze instrukcje.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Na kampusie doszło do zdarzenia. Trzymaj się z dala od obszaru objętego zdarzeniem, nie zbliżaj się i stosuj się do poleceń pracowników ochrony. Czekaj na dalsze instrukcje.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Sytuacja awaryjna została zakończona. Można bezpiecznie wrócić do normalnych czynności. Dziękujemy za współpracę.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Uwaga. To jest Służba Powiadamiania Alarmowego UPES. Udaj się teraz do wyznaczonego punktu zbiórki. Poruszaj się spokojnie, pomagaj innym, gdzie możesz, i czekaj na policzenie. Czekaj na dalsze instrukcje.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Uwaga. To jest powiadomienie od Służby Powiadamiania Alarmowego UPES. Proszę, słuchaj uważnie i stosuj się do następujących instrukcji.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","To jest ćwiczenie systemu alarmowego UPES. To jest tylko test. Nie trwa żadna prawdziwa sytuacja awaryjna i nie zostanie wysłana żadna ekipa. Dziękujemy.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Żaden ratownik nie może teraz odebrać twojego połączenia. Po sygnale podaj swoje imię, miejsce, w którym się znajdujesz, i to, co się dzieje. Zachowaj bezpieczeństwo. Pomoc oddzwoni najszybciej, jak to możliwe.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Przepraszamy. Nie masz uprawnień do korzystania z tej funkcji.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Proszę, pozostań na linii. Łączymy cię teraz z ratownikiem.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Jesteś teraz wstrzymany i nie będziesz otrzymywać połączeń alarmowych. Wybierz gwiazdka cztery sześć, aby wznowić.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Jesteś teraz dostępny i ponownie będziesz otrzymywać połączenia alarmowe.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Aby zmienić język, naciśnij 1, aby wybrać angielski, lub 2, aby wybrać hindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
