"id","category","file","max_seconds","en","sw","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Umefika kwenye laini ya mwongozo wa dharura ya chuo. Kwa sasa hakuna mhudumu aliye huru, na msaada umearifiwa ili akupigie tena. Tulia. Vuta pumzi taratibu. Nitakuongoza kuhusu la kufanya. Ikiwa unaweza, pia piga simu kwa nambari yako ya dharura ya kitaifa sasa.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Hii ni laini ya mwongozo wa dharura ya chuo, katika hali ya majaribio. Hakuna tukio halisi linalorekodiwa. Nitakuongoza kuhusu la kufanya wakati wa dharura.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Chagua hali. Bonyeza moja ikiwa mtu hapumui au hana mapigo ya moyo. Bonyeza mbili kwa kutokwa na damu kwingi. Bonyeza tatu kwa kukaba koo. Bonyeza nne kwa moto au moshi. Bonyeza tano kwa tishio, mshambuliaji, au kufungiwa ndani. Bonyeza sita ikiwa mtu amezimia lakini anapumua. Bonyeza saba ikiwa umenaswa. Bonyeza tisa kujaribu kumpata mhudumu tena. Bonyeza nane kuacha ujumbe. Bonyeza sifuri kusikia machaguo haya tena.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Mlaze mtu chali juu ya sehemu ngumu na upige magoti kando yake. Weka kisigino cha mkono mmoja katikati ya kifua, na mkono wako mwingine juu yake. Sukuma chini kwa nguvu na haraka, takribani mara mbili kila sekunde, ukiacha kifua kipande juu kikamilifu kila mara. Endelea bila kusimama. Ikiwa kuna mtu karibu, mtume akalete kifaa cha kufufua moyo kilicho karibu zaidi, na akiwashe ili kufuata maagizo yake yanayotamkwa. Usisimame mpaka msaada ufike au mtu aamke.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Bonyeza kwa nguvu na moja kwa moja juu ya jeraha kwa kitambaa au mkono wako. Usiondoe kitambaa. Ikiwa damu itapenya, ongeza kingine juu yake na uendelee kubonyeza kwa nguvu. Ikiwa ni mkono au mguu na damu haisimami, funga utepe imara kwa nguvu sentimita chache juu ya jeraha, kati ya jeraha na moyo, na uandike wakati. Mweke mtu joto na atulie.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Uliza kama wanaweza kuongea au kukohoa. Ikiwa hawawezi kupumua, simama nyuma yao na uwapige mapigo matano imara kati ya mabega kwa kisigino cha mkono wako. Ikiwa hilo halifanyi kazi, zungushia mikono yako kiunoni mwao na usukume mara tano haraka ndani na juu kidogo juu ya kitovu. Endelea kurudia mapigo ya mgongoni na misukumo mpaka kitu kitoke au msaada ufike.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Watoe watu wote nje sasa, na usisimame kwa ajili ya vitu. Baki chini ya moshi, ambako hewa iko safi zaidi. Kabla ya kufungua mlango wowote, uugusie kwa nyuma ya mkono wako. Ikiwa una moto, tafuta njia nyingine ya kutokea. Usitumie lifti. Ukishakuwa nje, baki nje, na uende kwenye eneo la kukusanyika. Usirudi ndani.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Ikiwa unaweza kuondoka eneo hilo salama, sogea mbali na hatari kimya kimya na haraka. Ikiwa huwezi, ingia ndani ya chumba, funga au zuia mlango, na baki chini, mbali na madirisha na milango. Zima taa na uweke simu yako katika hali ya kimya. Baki kimya na usionekane. Usifungue mlango mpaka walinzi au polisi wakuambie ni salama.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Ikiwa mtu anapumua lakini hajazinduka, mgeuze taratibu alale ubavu. Inamisha kichwa chake nyuma kidogo ili kuweka njia ya hewa wazi, na uinue kidevu chake. Baki naye na uendelee kuangalia kwamba bado anapumua. Ikiwa ataacha kupumua, anza kusukuma kifua katikati ya kifua.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Baki mtulivu na tuli kadri uwezavyo, ili kuhifadhi hewa na nguvu. Funika pua na mdomo wako kwa kitambaa dhidi ya vumbi. Gonga kwa utaratibu kwenye bomba, ukuta, au sehemu yoyote ngumu, ili waokoaji wakusikie. Piga kelele tu kama njia ya mwisho, ili kuepuka kuvuta vumbi. Usiwashe moto wowote. Sogea kidogo iwezekanavyo na usubiri kupatikana.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Ninajaribu kumpata mhudumu sasa. Tafadhali baki kwenye laini na usubiri.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Bado hakuna mhudumu aliye huru. Nitabaki nawe. Tunarudi kwenye mwongozo.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Samahani, sikuelewa hilo.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Sikusikia chaguo.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Sasa nitakuruhusu kuacha ujumbe kwa timu ya kujibu. Baada ya mlio, sema ulipo na kinachoendelea.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Mwongozo wa huduma ya kwanza. Mhudumu bado anaarifiwa na atajiunga ikiwa ataweza. Baki nami.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Umefika kwenye laini ya dharura ya chuo. Simu yako inarekodiwa, na msaada unafikiwa sasa. Baki kwenye laini. Ikiwa mtu anahitaji huduma ya kwanza sasa hivi, bonyeza moja wakati wowote, na nitakuongoza.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Bado tunakuunganisha na mhudumu. Ikiwa unahitaji huduma ya kwanza sasa, bonyeza moja kwa mwongozo hatua kwa hatua.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Tahadhari ya dharura. Kuna simu inayoendelea kwenye laini ya dharura ya chuo na hakuna mhudumu aliyejibu. Tafadhali jiweke tayari sasa. Bonyeza moja kujiunga na foleni ya dharura.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Sasa uko kazini. Utapokea simu za dharura za chuo mpaka utoke kazini kwa kupiga nyota mbili tatu.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Sasa umetoka kazini. Hutapokea tena simu za dharura za chuo.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Toka jengoni sasa. Ondoka mara moja kwa njia ya kutokea salama iliyo karibu zaidi. Usitumie lifti. Nenda kwenye eneo lako la kukusanyika na usubiri maagizo zaidi.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Jikinge mahali ulipo sasa. Ingia ndani, funga au zuia mlango wako, baki mbali na madirisha, na uendelee kuwa kimya mpaka uambiwe ni salama. Subiri maagizo zaidi.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Dharura sasa imekwisha. Ni salama kuendelea na shughuli za kawaida. Asante kwa ushirikiano wako.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Nenda kwenye eneo lako maalum la kukusanyika sasa. Tembea kwa utulivu, wasaidie wengine pale unapoweza, na usubiri kuhesabiwa. Subiri maagizo zaidi.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Hii ni hesabu ya usalama. Ikiwa uko salama na unaweza kujibu, bonyeza moja sasa.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Haya ni majaribio ya Huduma ya Tahadhari ya Dharura ya UPES. Haya ni majaribio tu. Hakuna hatua inayohitajika, na hakuna jibu la dharura litakalotumwa.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Bonyeza moja ikiwa uko salama.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Asante. Umewekwa alama ya usalama. Sasa unaweza kukata simu.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Hakuna jibu lililorekodiwa. Tafadhali wasiliana na msimamizi wako mara tu utakapoweza.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Toka jengoni sasa. Ondoka mara moja kwa njia ya kutokea salama iliyo karibu zaidi. Usitumie lifti. Nenda kwenye eneo lako la kukusanyika na usubiri maagizo zaidi.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Kuna tukio chuoni. Baki mbali na eneo lililoathirika, usikaribie, na ufuate maagizo ya wafanyakazi wa usalama. Subiri maagizo zaidi.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Dharura sasa imekwisha. Ni salama kuendelea na shughuli za kawaida. Asante kwa ushirikiano wako.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Tahadhari. Hii ni Huduma ya Tahadhari ya Dharura ya UPES. Nenda kwenye eneo lako maalum la kukusanyika sasa. Tembea kwa utulivu, wasaidie wengine pale unapoweza, na usubiri kuhesabiwa. Subiri maagizo zaidi.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Tahadhari. Hii ni taarifa kutoka Huduma ya Tahadhari ya Dharura ya UPES. Tafadhali sikiliza kwa makini na ufuate maagizo yanayofuata.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Haya ni mazoezi ya mfumo wa dharura wa UPES. Haya ni majaribio tu. Hakuna dharura halisi inayoendelea, na hakuna jibu litakalotumwa. Asante.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Hakuna mhudumu anayepatikana kupokea simu yako sasa hivi. Baada ya mlio, tafadhali sema jina lako, ulipo, na kinachoendelea. Baki salama. Msaada utakupigia tena haraka iwezekanavyo.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Samahani. Hauruhusiwi kutumia kipengele hiki.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Tafadhali baki kwenye laini. Tunakuunganisha na mhudumu sasa.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Sasa umesitishwa, na hutapokea simu za dharura. Piga nyota nne sita kuendelea.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Sasa unapatikana, na utapokea simu za dharura tena.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Kubadilisha lugha, bonyeza 1 kwa Kiingereza au 2 kwa Kihindi.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
