"id","category","file","max_seconds","en","uk","notes"
"upes-ecs/coach/intro","coach","upes-ecs/coach/intro.wav","20","You have reached the campus emergency guidance line. No responder is free at this moment, and help has been alerted to call you back. Stay calm. Take a slow breath. I will guide you through what to do. If you are able, also call your national emergency number now.","Ви зателефонували на кампусну лінію екстреного супроводу. Наразі жоден рятувальник не вільний, і допомогу вже сповіщено, щоб вам передзвонили. Зберігайте спокій. Повільно вдихніть. Я підкажу вам, що робити. Якщо можете, зателефонуйте також зараз на національний номер екстреної допомоги.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/intro-test","coach","upes-ecs/coach/intro-test.wav","11","This is the campus emergency guidance line, in test mode. No real incident is being logged. I will guide you through what to do in an emergency.","Це кампусна лінія екстреного супроводу в тестовому режимі. Жодна реальна подія не реєструється. Я підкажу вам, що робити в надзвичайній ситуації.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/menu","coach","upes-ecs/coach/menu.wav","29","Choose the situation. Press 1 if someone is not breathing or has no pulse. Press 2 for severe bleeding. Press 3 for choking. Press 4 for fire or smoke. Press 5 for a threat, attacker, or lockdown. Press 6 if someone is unconscious but breathing. Press 7 if you are trapped. Press 9 to try a responder again. Press 8 to leave a message. Press 0 to hear these choices again.","Оберіть ситуацію. Натисніть один, якщо хтось не дихає або не має пульсу. Натисніть два при сильній кровотечі. Натисніть три при задусі. Натисніть чотири при пожежі або димі. Натисніть п'ять при загрозі, нападнику або блокуванні. Натисніть шість, якщо хтось непритомний, але дихає. Натисніть сім, якщо ви в пастці. Натисніть дев'ять, щоб знову спробувати зв'язатися з рятувальником. Натисніть вісім, щоб залишити повідомлення. Натисніть нуль, щоб знову почути ці варіанти.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1, 2, 3, 4, 5, 6, 7, 9, 8, 0. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/coach/cpr","coach","upes-ecs/coach/cpr.wav","33","Put the person on their back on a firm surface and kneel beside them. Place the heel of one hand in the centre of the chest, and your other hand on top. Push down hard and fast, about twice every second, letting the chest rise fully each time. Keep going without stopping. If someone is nearby, send them for the nearest defibrillator, and turn it on to follow its spoken instructions. Do not stop until help arrives or the person wakes.","Покладіть людину на спину на тверду поверхню і станьте на коліна поруч. Покладіть основу однієї долоні на центр грудної клітки, а другу руку зверху. Натискайте сильно і швидко, приблизно двічі на секунду, щоразу даючи грудній клітці повністю піднятися. Продовжуйте без зупинки. Якщо хтось поруч, відправте його по найближчий дефібрилятор, увімкніть його і виконуйте голосові інструкції. Не зупиняйтеся, доки не прибуде допомога або людина не отямиться.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. ""defibrillator"" (AED): use the locally understood term for the automatic shock device."
"upes-ecs/coach/bleeding","coach","upes-ecs/coach/bleeding.wav","29","Press firmly and directly on the wound with a cloth or your hand. Do not remove the cloth. If blood soaks through, add more on top and keep pressing hard. If it is an arm or a leg and the bleeding will not stop, tie a strong band tightly a few centimetres above the wound, between the wound and the heart, and note the time. Keep the person warm and still.","Притисніть тканину або руку міцно і прямо до рани. Не знімайте тканину. Якщо кров просочується, додайте зверху ще і продовжуйте сильно притискати. Якщо це рука або нога і кровотеча не зупиняється, туго перев'яжіть міцною смугою на кілька сантиметрів вище рани, між раною і серцем, і запишіть час. Тримайте людину в теплі й нерухомо.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/choking","coach","upes-ecs/coach/choking.wav","28","Ask if they can speak or cough. If they cannot breathe, stand behind them and give five firm blows between the shoulder blades with the heel of your hand. If that does not work, wrap your arms around their waist and give five quick inward and upward thrusts just above the navel. Keep repeating the back blows and the thrusts until the object comes out or help arrives.","Запитайте, чи може вона говорити або кашляти. Якщо вона не може дихати, стійте позаду і завдайте п'ять сильних ударів основою долоні між лопатками. Якщо це не допомагає, обхопіть руками її талію і зробіть п'ять швидких поштовхів усередину і вгору трохи вище пупка. Продовжуйте чергувати удари по спині й поштовхи, доки предмет не вийде або не прибуде допомога.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fire","coach","upes-ecs/coach/fire.wav","25","Get everyone out now, and do not stop for belongings. Stay low under the smoke, where the air is clearer. Before opening any door, feel it with the back of your hand. If it is hot, find another way out. Do not use the lifts. Once you are outside, stay outside, and move to the assembly point. Do not go back in.","Виведіть усіх назовні зараз і не зупиняйтеся заради речей. Тримайтеся низько під димом, де повітря чистіше. Перш ніж відчинити будь-які двері, торкніться їх тильним боком долоні. Якщо вони гарячі, знайдіть інший вихід. Не користуйтеся ліфтами. Опинившись назовні, залишайтеся назовні і йдіть до місця збору. Не повертайтеся всередину.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/lockdown","coach","upes-ecs/coach/lockdown.wav","27","If you can leave the area safely, move away from the danger quietly and quickly. If you cannot, get into a room, lock or block the door, and stay low, away from windows and doors. Turn off the lights and set your phone to silent. Stay quiet and out of sight. Do not open the door until security or the police tell you it is safe.","Якщо ви можете безпечно покинути зону, тихо і швидко відійдіть від небезпеки. Якщо ні, зайдіть до кімнати, замкніть або заблокуйте двері й тримайтеся низько, подалі від вікон і дверей. Вимкніть світло і переведіть телефон у беззвучний режим. Будьте тихими й непомітними. Не відчиняйте двері, доки охорона або поліція не скаже, що безпечно.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/recovery","coach","upes-ecs/coach/recovery.wav","22","If the person is breathing but not awake, gently roll them onto their side. Tilt their head back a little to keep the airway open, and lift their chin. Stay with them and keep watching that they are still breathing. If they stop breathing, begin chest compressions in the centre of the chest.","Якщо людина дихає, але непритомна, обережно поверніть її на бік. Трохи відхиліть її голову назад, щоб дихальні шляхи залишалися відкритими, і підніміть підборіддя. Залишайтеся з нею і стежте, що вона й далі дихає. Якщо вона перестане дихати, почніть натискання на центр грудної клітки.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/trapped","coach","upes-ecs/coach/trapped.wav","26","Stay as calm and still as you can, to save air and energy. Cover your nose and mouth with cloth against dust. Tap steadily on a pipe, a wall, or any hard surface, so rescuers can hear you. Shout only as a last resort, to avoid breathing in dust. Do not light any flame. Move as little as possible and wait to be found.","Залишайтеся якомога спокійнішими й нерухомими, щоб зберегти повітря та сили. Прикрийте ніс і рот тканиною від пилу. Рівномірно стукайте по трубі, стіні чи будь-якій твердій поверхні, щоб рятувальники вас почули. Кричіть лише в крайньому разі, щоб не вдихати пил. Не запалюйте жодного вогню. Рухайтеся якомога менше і чекайте, доки вас знайдуть.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/tryagain","coach","upes-ecs/coach/tryagain.wav","6","I am trying to reach a responder now. Please stay on the line and hold.","Я зараз намагаюся зв'язатися з рятувальником. Будь ласка, залишайтеся на лінії й зачекайте.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/noresponder","coach","upes-ecs/coach/noresponder.wav","6","No responder is free yet. I will stay with you. Returning to the guidance.","Наразі жоден рятувальник не вільний. Я залишуся з вами. Повертаємося до супроводу.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 6s."
"upes-ecs/coach/invalid","coach","upes-ecs/coach/invalid.wav","4","Sorry, I did not understand that.","Вибачте, я цього не зрозумів.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/nochoice","coach","upes-ecs/coach/nochoice.wav","4","I did not hear a choice.","Я не почув вибору.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/leavemsg","coach","upes-ecs/coach/leavemsg.wav","10","I will now let you leave a message for the response team. After the tone, say where you are and what is happening.","Зараз я дам вам змогу залишити повідомлення для групи реагування. Після сигналу скажіть, де ви і що відбувається.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried."
"upes-ecs/coach/fastpath-intro","coach","upes-ecs/coach/fastpath-intro.wav","8","First aid guidance. A responder is still being alerted and will join if they can. Stay with me.","Супровід із надання першої допомоги. Рятувальника все ще сповіщають, і він приєднається, якщо зможе. Залишайтеся зі мною.","First-aid / crisis coaching: keep every step AND its order exactly. Do not add, drop, or reorder instructions - accuracy is safety-critical. Tone: calm, clear, unhurried. Very short prompt: keep spoken length under about 8s."
"upes-ecs/emergency-preanswer","flow","upes-ecs/emergency-preanswer.wav","16","You have reached the campus emergency line. Your call is being recorded, and help is being reached now. Stay on the line. If someone needs first aid right now, press 1 at any time, and I will guide you.","Ви зателефонували на кампусну лінію екстреної допомоги. Ваш дзвінок записується, і допомогу вже викликають. Залишайтеся на лінії. Якщо комусь потрібна перша допомога зараз, будь-коли натисніть один, і я вас скеровуватиму.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/hold-firstaid","flow","upes-ecs/hold-firstaid.wav","8","Still connecting you to a responder. If you need first aid now, press 1 for step by step guidance.","Все ще з'єдную вас із рятувальником. Якщо вам потрібна перша допомога зараз, натисніть один для покрокового супроводу.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 8s."
"upes-ecs/responder-alert","flow","upes-ecs/responder-alert.wav","12","Emergency alert. There is an active call on the campus emergency line and no responder has answered. Please make yourself available now. Press 1 to join the emergency queue.","Екстрене сповіщення. На кампусній лінії екстреної допомоги є активний дзвінок, і жоден рятувальник не відповів. Будь ласка, звільніться зараз. Натисніть один, щоб приєднатися до екстреної черги.","Emergency call-flow line: calm, reassuring authority. Keep it short. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself."
"upes-ecs/shift-on","flow","upes-ecs/shift-on.wav","9","You are now on shift. You will receive campus emergency calls until you go off shift by dialling star two three.","Ви тепер на зміні. Ви отримуватимете кампусні екстрені дзвінки, доки не завершите зміну, набравши зірочка два три.","Emergency call-flow line: calm, reassuring authority. Keep it short. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide."
"upes-ecs/shift-off","flow","upes-ecs/shift-off.wav","6","You are now off shift. You will no longer receive campus emergency calls.","Ви тепер поза зміною. Ви більше не отримуватимете кампусних екстрених дзвінків.","Emergency call-flow line: calm, reassuring authority. Keep it short. Very short prompt: keep spoken length under about 6s."
"custom/upes-evacuate","eas","custom/upes-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Увага. Це служба екстреного сповіщення ЮПЕС. Негайно евакуюйтеся з будівлі. Виходьте негайно через найближчий безпечний вихід. Не користуйтеся ліфтами. Прямуйте до місця збору й чекайте подальших вказівок.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-shelter","eas","custom/upes-shelter.wav","15","Attention. This is the UPES Emergency Alert Service. Shelter in place now. Move indoors, lock or block your door, stay away from windows, and remain quiet until you are told it is safe. Await further instructions.","Увага. Це служба екстреного сповіщення ЮПЕС. Негайно укрийтеся на місці. Зайдіть усередину, замкніть або заблокуйте двері, тримайтеся подалі від вікон і залишайтеся тихими, доки вам не скажуть, що безпечно. Чекайте подальших вказівок.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-allclear","eas","custom/upes-allclear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Увага. Це служба екстреного сповіщення ЮПЕС. Надзвичайна ситуація завершена. Можна безпечно повернутися до звичайної діяльності. Дякуємо за співпрацю.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-assemble","eas","custom/upes-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Увага. Це служба екстреного сповіщення ЮПЕС. Негайно прямуйте до визначеного місця збору. Рухайтеся спокійно, допомагайте іншим, де можете, і чекайте переклику. Чекайте подальших вказівок.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-rollcall","eas","custom/upes-rollcall.wav","10","Attention. This is the UPES Emergency Alert Service. This is a safety head count. If you are safe and able to respond, press one now.","Увага. Це служба екстреного сповіщення ЮПЕС. Це перевірка безпеки з переклику. Якщо ви в безпеці й можете відповісти, натисніть один зараз.","Mass emergency alert announcement: authoritative and clear, never panicked. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"custom/upes-test","eas","custom/upes-test.wav","11","This is a test of the UPES Emergency Alert Service. This is only a test. No action is required, and no emergency response will be dispatched.","Це перевірка служби екстреного сповіщення ЮПЕС. Це лише тест. Жодних дій не потрібно, і жодне екстрене реагування не буде відправлено.","Mass emergency alert announcement: authoritative and clear, never panicked. Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/rollcall-press1","rollcall","upes-ecs/rollcall-press1.wav","4","Press one if you are safe.","Натисніть один, якщо ви в безпеці.","Head-count / roll-call prompt: short and unambiguous. PRESS-A-KEY prompt. Keep the phone key(s) EXACTLY: 1. The caller physically presses that key on the phone, so translate the word ""press"" but NEVER change or translate the number itself. Very short prompt: keep spoken length under about 4s."
"upes-ecs/rollcall-thanks","rollcall","upes-ecs/rollcall-thanks.wav","5","Thank you. You are marked safe. You may now hang up.","Дякуємо. Вас позначено як у безпеці. Тепер ви можете покласти слухавку.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 5s."
"upes-ecs/rollcall-noack","rollcall","upes-ecs/rollcall-noack.wav","6","No response was recorded. Please contact your warden as soon as you are able.","Відповіді не зафіксовано. Будь ласка, зв'яжіться зі своїм комендантом, щойно зможете.","Head-count / roll-call prompt: short and unambiguous. Very short prompt: keep spoken length under about 6s."
"upes-ecs/announce-evacuate","paging","upes-ecs/announce-evacuate.wav","14","Attention. This is the UPES Emergency Alert Service. Evacuate the building now. Leave immediately by the nearest safe exit. Do not use the lifts. Move to your assembly point and await further instructions.","Увага. Це служба екстреного сповіщення ЮПЕС. Негайно евакуюйтеся з будівлі. Виходьте негайно через найближчий безпечний вихід. Не користуйтеся ліфтами. Прямуйте до місця збору й чекайте подальших вказівок.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-avoid-area","paging","upes-ecs/announce-avoid-area.wav","14","Attention. This is the UPES Emergency Alert Service. There is an incident on campus. Stay away from the affected area, do not approach, and follow the instructions of security staff. Await further instructions.","Увага. Це служба екстреного сповіщення ЮПЕС. На кампусі сталася подія. Тримайтеся подалі від ураженої зони, не наближайтеся і виконуйте вказівки охорони. Чекайте подальших вказівок.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-all-clear","paging","upes-ecs/announce-all-clear.wav","10","Attention. This is the UPES Emergency Alert Service. The emergency is now over. It is safe to resume normal activity. Thank you for your cooperation.","Увага. Це служба екстреного сповіщення ЮПЕС. Надзвичайна ситуація завершена. Можна безпечно повернутися до звичайної діяльності. Дякуємо за співпрацю.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/announce-assemble","paging","upes-ecs/announce-assemble.wav","12","Attention. This is the UPES Emergency Alert Service. Proceed to your designated assembly point now. Move calmly, help others where you can, and wait to be counted. Await further instructions.","Увага. Це служба екстреного сповіщення ЮПЕС. Негайно прямуйте до визначеного місця збору. Рухайтеся спокійно, допомагайте іншим, де можете, і чекайте переклику. Чекайте подальших вказівок.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym."
"upes-ecs/callout-notify","paging","upes-ecs/callout-notify.wav","8","Attention. This is a notification from the UPES Emergency Alert Service. Please listen carefully and follow the instructions that follow.","Увага. Це сповіщення від служби екстреного сповіщення ЮПЕС. Будь ласка, слухайте уважно і виконуйте вказівки, що прозвучать далі.","Campus-wide paging announcement: authoritative and clear (same wording family as the alerts). Keep ""UPES Emergency Alert Service"" as the recognisable service name - see the guide for how to render the brand + acronym. Very short prompt: keep spoken length under about 8s."
"upes-ecs/drill-prompt","system","upes-ecs/drill-prompt.wav","11","This is a UPES emergency system drill. This is only a test. No real emergency is in progress, and no response will be dispatched. Thank you.","Це навчальна тривога екстреної системи ЮПЕС. Це лише тест. Жодної реальної надзвичайної ситуації немає, і жодне реагування не буде відправлено. Дякуємо.","System status prompt: neutral, clear, brief."
"upes-ecs/emergency-voicemail-prompt","system","upes-ecs/emergency-voicemail-prompt.wav","14","No responder is available to take your call right now. After the tone, please say your name, where you are, and what is happening. Stay safe. Help will call you back as soon as possible.","Наразі немає вільного рятувальника, щоб прийняти ваш дзвінок. Після сигналу, будь ласка, назвіть своє ім'я, де ви і що відбувається. Будьте в безпеці. Допомога передзвонить вам якнайшвидше.","System status prompt: neutral, clear, brief."
"upes-ecs/not-authorized","system","upes-ecs/not-authorized.wav","4","Sorry. You are not authorised to use this feature.","Вибачте. Ви не маєте дозволу користуватися цією функцією.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/queue-hold","system","upes-ecs/queue-hold.wav","6","Please stay on the line. We are connecting you to a responder now.","Будь ласка, залишайтеся на лінії. Ми зараз з'єднуємо вас із рятувальником.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 6s."
"upes-ecs/queue-paused","system","upes-ecs/queue-paused.wav","7","You are now paused, and will not receive emergency calls. Dial star four six to resume.","Вас тепер призупинено, і ви не отримуватимете екстрених дзвінків. Наберіть зірочка чотири шість, щоб відновити.","System status prompt: neutral, clear, brief. Contains a star / feature code (e.g. *23, *46): keep the digits exactly. Render ""star"" plus the digits the way your users dial them - see the guide. Very short prompt: keep spoken length under about 7s."
"upes-ecs/queue-resumed","system","upes-ecs/queue-resumed.wav","4","You are now available, and will receive emergency calls again.","Ви тепер доступні і знову отримуватимете екстрені дзвінки.","System status prompt: neutral, clear, brief. Very short prompt: keep spoken length under about 4s."
"upes-ecs/coach/pick-language","coach","upes-ecs/coach/pick-language.wav","8","To change the language, press 1 for English, or 2 for Hindi.","Щоб змінити мову, натисніть 1 для англійської або 2 для гінді.","Language chooser played on * in the panic-coach. Keys 1 and 2 are physical DTMF - keep the numerals; translate the language names naturally. Draft (AI) - native review pending."
